event_id,store_id,campaign_id,product_code,base_price,promo_type,quantity_sold(before_promo),quantity_sold(after_promo),campaign_name,start_date,end_date,product_name,category,city
7b49ce,STVJD-1,CAMP_DIW_01,P15,3000,500 Cashback,224,685,Diwali,12-11-2023,18-11-2023,Atliq_Home_Essential_8_Product_Combo,Combo1,Vijayawada
4b515c,STVJD-1,CAMP_SAN_01,P02,860,33% OFF,274,394,Sankranti,10-01-2024,16-01-2024,Atliq_Sonamasuri_Rice (10KG),Grocery & Staples,Vijayawada
8f4f8c,STVJD-1,CAMP_DIW_01,P02,860,33% OFF,210,321,Diwali,12-11-2023,18-11-2023,Atliq_Sonamasuri_Rice (10KG),Grocery & Staples,Vijayawada
0f714a,STVJD-1,CAMP_SAN_01,P06,415,25% OFF,16,11,Sankranti,10-01-2024,16-01-2024,Atliq_Fusion_Container_Set_of_3,Home Care,Vijayawada
44838e,STVJD-1,CAMP_DIW_01,P06,415,25% OFF,49,40,Diwali,12-11-2023,18-11-2023,Atliq_Fusion_Container_Set_of_3,Home Care,Vijayawada
b6dd84,STVJD-1,CAMP_SAN_01,P01,172,33% OFF,166,225,Sankranti,10-01-2024,16-01-2024,Atliq_Masoor_Dal (1KG),Grocery & Staples,Vijayawada
7b0f7d,STVJD-1,CAMP_DIW_01,P01,172,33% OFF,180,255,Diwali,12-11-2023,18-11-2023,Atliq_Masoor_Dal (1KG),Grocery & Staples,Vijayawada
8ea7e8,STVJD-1,CAMP_SAN_01,P09,90,25% OFF,37,26,Sankranti,10-01-2024,16-01-2024,Atliq_Body_Milk_Nourishing_Lotion (120ML),Personal Care,Vijayawada
cb7ddd,STVJD-1,CAMP_DIW_01,P09,110,50% OFF,49,65,Diwali,12-11-2023,18-11-2023,Atliq_Body_Milk_Nourishing_Lotion (120ML),Personal Care,Vijayawada
dafaa4,STVJD-1,CAMP_SAN_01,P05,55,25% OFF,13,9,Sankranti,10-01-2024,16-01-2024,Atliq_Scrub_Sponge_For_Dishwash,Home Care,Vijayawada
75ad53,STVJD-1,CAMP_DIW_01,P05,55,25% OFF,59,48,Diwali,12-11-2023,18-11-2023,Atliq_Scrub_Sponge_For_Dishwash,Home Care,Vijayawada
6a7fa1,STVJD-1,CAMP_SAN_01,P14,1020,BOGOF,61,243,Sankranti,10-01-2024,16-01-2024,Atliq_waterproof_Immersion_Rod,Home Appliances,Vijayawada
5.00E+300,STVJD-1,CAMP_DIW_01,P14,1020,BOGOF,24,80,Diwali,12-11-2023,18-11-2023,Atliq_waterproof_Immersion_Rod,Home Appliances,Vijayawada
eae38f,STVJD-1,CAMP_SAN_01,P13,350,BOGOF,73,286,Sankranti,10-01-2024,16-01-2024,Atliq_High_Glo_15W_LED_Bulb,Home Appliances,Vijayawada
d7e3d8,STVJD-1,CAMP_DIW_01,P13,350,BOGOF,36,124,Diwali,12-11-2023,18-11-2023,Atliq_High_Glo_15W_LED_Bulb,Home Appliances,Vijayawada
c15780,STVJD-1,CAMP_SAN_01,P04,370,BOGOF,183,708,Sankranti,10-01-2024,16-01-2024,Atliq_Farm_Chakki_Atta (1KG),Grocery & Staples,Vijayawada
b79fd9,STVJD-1,CAMP_DIW_01,P04,290,25% OFF,150,123,Diwali,12-11-2023,18-11-2023,Atliq_Farm_Chakki_Atta (1KG),Grocery & Staples,Vijayawada
491ff2,STVJD-1,CAMP_SAN_01,P12,62,50% OFF,30,42,Sankranti,10-01-2024,16-01-2024,Atliq_Lime_Cool_Bathing_Bar (125GM),Personal Care,Vijayawada
bdf2b8,STVJD-1,CAMP_DIW_01,P12,62,50% OFF,56,71,Diwali,12-11-2023,18-11-2023,Atliq_Lime_Cool_Bathing_Bar (125GM),Personal Care,Vijayawada
af646e,STHYD-4,CAMP_SAN_01,P11,190,50% OFF,54,78,Sankranti,10-01-2024,16-01-2024,Atliq_Doodh_Kesar_Body_Lotion (200ML),Personal Care,Hyderabad
9a13a5,STHYD-4,CAMP_DIW_01,P11,190,50% OFF,82,107,Diwali,12-11-2023,18-11-2023,Atliq_Doodh_Kesar_Body_Lotion (200ML),Personal Care,Hyderabad
543c36,STHYD-4,CAMP_SAN_01,P07,300,BOGOF,58,225,Sankranti,10-01-2024,16-01-2024,Atliq_Curtains,Home Care,Hyderabad
252235,STHYD-4,CAMP_DIW_01,P07,300,BOGOF,64,223,Diwali,12-11-2023,18-11-2023,Atliq_Curtains,Home Care,Hyderabad
e31e72,STHYD-4,CAMP_SAN_01,P10,50,25% OFF,33,31,Sankranti,10-01-2024,16-01-2024,Atliq_Cream_Beauty_Bathing_Soap (125GM),Personal Care,Hyderabad
4c1375,STHYD-4,CAMP_DIW_01,P10,65,50% OFF,148,196,Diwali,12-11-2023,18-11-2023,Atliq_Cream_Beauty_Bathing_Soap (125GM),Personal Care,Hyderabad
cf734f,STHYD-4,CAMP_SAN_01,P08,1190,BOGOF,51,203,Sankranti,10-01-2024,16-01-2024,Atliq_Double_Bedsheet_set,Home Care,Hyderabad
60170c,STHYD-4,CAMP_DIW_01,P08,1190,BOGOF,63,208,Diwali,12-11-2023,18-11-2023,Atliq_Double_Bedsheet_set,Home Care,Hyderabad
4e42b9,STHYD-4,CAMP_SAN_01,P03,200,BOGOF,376,1447,Sankranti,10-01-2024,16-01-2024,Atliq_Suflower_Oil (1L),Grocery & Staples,Hyderabad
2dd3f7,STHYD-4,CAMP_DIW_01,P03,156,25% OFF,341,327,Diwali,12-11-2023,18-11-2023,Atliq_Suflower_Oil (1L),Grocery & Staples,Hyderabad
496b80,STHYD-4,CAMP_SAN_01,P15,3000,500 Cashback,118,253,Sankranti,10-01-2024,16-01-2024,Atliq_Home_Essential_8_Product_Combo,Combo1,Hyderabad
e411c6,STHYD-4,CAMP_DIW_01,P15,3000,500 Cashback,323,965,Diwali,12-11-2023,18-11-2023,Atliq_Home_Essential_8_Product_Combo,Combo1,Hyderabad
0d853d,STHYD-4,CAMP_SAN_01,P02,860,33% OFF,594,819,Sankranti,10-01-2024,16-01-2024,Atliq_Sonamasuri_Rice (10KG),Grocery & Staples,Hyderabad
ee63b3,STHYD-4,CAMP_DIW_01,P02,860,33% OFF,362,521,Diwali,12-11-2023,18-11-2023,Atliq_Sonamasuri_Rice (10KG),Grocery & Staples,Hyderabad
b0ab6c,STHYD-4,CAMP_SAN_01,P06,415,25% OFF,34,31,Sankranti,10-01-2024,16-01-2024,Atliq_Fusion_Container_Set_of_3,Home Care,Hyderabad
7e28fb,STHYD-4,CAMP_DIW_01,P06,415,25% OFF,96,92,Diwali,12-11-2023,18-11-2023,Atliq_Fusion_Container_Set_of_3,Home Care,Hyderabad
541bef,STHYD-4,CAMP_SAN_01,P01,172,33% OFF,234,322,Sankranti,10-01-2024,16-01-2024,Atliq_Masoor_Dal (1KG),Grocery & Staples,Hyderabad
0a8543,STHYD-4,CAMP_DIW_01,P01,172,33% OFF,304,465,Diwali,12-11-2023,18-11-2023,Atliq_Masoor_Dal (1KG),Grocery & Staples,Hyderabad
835bbe,STHYD-4,CAMP_SAN_01,P09,90,25% OFF,54,49,Sankranti,10-01-2024,16-01-2024,Atliq_Body_Milk_Nourishing_Lotion (120ML),Personal Care,Hyderabad
f3d93f,STHYD-4,CAMP_DIW_01,P09,110,50% OFF,73,95,Diwali,12-11-2023,18-11-2023,Atliq_Body_Milk_Nourishing_Lotion (120ML),Personal Care,Hyderabad
bdfb7d,STHYD-4,CAMP_SAN_01,P05,55,25% OFF,16,15,Sankranti,10-01-2024,16-01-2024,Atliq_Scrub_Sponge_For_Dishwash,Home Care,Hyderabad
b7db9e,STHYD-4,CAMP_DIW_01,P05,55,25% OFF,106,101,Diwali,12-11-2023,18-11-2023,Atliq_Scrub_Sponge_For_Dishwash,Home Care,Hyderabad
a617b5,STHYD-4,CAMP_SAN_01,P14,1020,BOGOF,102,410,Sankranti,10-01-2024,16-01-2024,Atliq_waterproof_Immersion_Rod,Home Appliances,Hyderabad
ce3c11,STHYD-4,CAMP_DIW_01,P14,1020,BOGOF,52,176,Diwali,12-11-2023,18-11-2023,Atliq_waterproof_Immersion_Rod,Home Appliances,Hyderabad
70c312,STHYD-4,CAMP_SAN_01,P13,350,BOGOF,135,534,Sankranti,10-01-2024,16-01-2024,Atliq_High_Glo_15W_LED_Bulb,Home Appliances,Hyderabad
fe3560,STHYD-4,CAMP_DIW_01,P13,350,BOGOF,73,245,Diwali,12-11-2023,18-11-2023,Atliq_High_Glo_15W_LED_Bulb,Home Appliances,Hyderabad
c9fa13,STHYD-4,CAMP_SAN_01,P04,370,BOGOF,403,1567,Sankranti,10-01-2024,16-01-2024,Atliq_Farm_Chakki_Atta (1KG),Grocery & Staples,Hyderabad
72eed8,STHYD-4,CAMP_DIW_01,P04,290,25% OFF,376,360,Diwali,12-11-2023,18-11-2023,Atliq_Farm_Chakki_Atta (1KG),Grocery & Staples,Hyderabad
908a96,STHYD-4,CAMP_SAN_01,P12,62,50% OFF,52,72,Sankranti,10-01-2024,16-01-2024,Atliq_Lime_Cool_Bathing_Bar (125GM),Personal Care,Hyderabad
0a0062,STHYD-4,CAMP_DIW_01,P12,62,50% OFF,110,146,Diwali,12-11-2023,18-11-2023,Atliq_Lime_Cool_Bathing_Bar (125GM),Personal Care,Hyderabad
19e2f0,STCHE-7,CAMP_SAN_01,P11,190,50% OFF,58,81,Sankranti,10-01-2024,16-01-2024,Atliq_Doodh_Kesar_Body_Lotion (200ML),Personal Care,Chennai
7ae5f8,STCHE-7,CAMP_DIW_01,P11,190,50% OFF,87,114,Diwali,12-11-2023,18-11-2023,Atliq_Doodh_Kesar_Body_Lotion (200ML),Personal Care,Chennai
699bac,STCHE-7,CAMP_SAN_01,P07,300,BOGOF,42,183,Sankranti,10-01-2024,16-01-2024,Atliq_Curtains,Home Care,Chennai
933f7e,STCHE-7,CAMP_DIW_01,P07,300,BOGOF,71,282,Diwali,12-11-2023,18-11-2023,Atliq_Curtains,Home Care,Chennai
6ae178,STCHE-7,CAMP_SAN_01,P10,50,25% OFF,30,28,Sankranti,10-01-2024,16-01-2024,Atliq_Cream_Beauty_Bathing_Soap (125GM),Personal Care,Chennai
e80ad8,STCHE-7,CAMP_DIW_01,P10,65,50% OFF,136,179,Diwali,12-11-2023,18-11-2023,Atliq_Cream_Beauty_Bathing_Soap (125GM),Personal Care,Chennai
c16abb,STCHE-7,CAMP_SAN_01,P08,1190,BOGOF,42,186,Sankranti,10-01-2024,16-01-2024,Atliq_Double_Bedsheet_set,Home Care,Chennai
c99d18,STCHE-7,CAMP_DIW_01,P08,1190,BOGOF,54,218,Diwali,12-11-2023,18-11-2023,Atliq_Double_Bedsheet_set,Home Care,Chennai
0efde2,STCHE-7,CAMP_SAN_01,P03,200,BOGOF,448,1895,Sankranti,10-01-2024,16-01-2024,Atliq_Suflower_Oil (1L),Grocery & Staples,Chennai
0a4160,STCHE-7,CAMP_DIW_01,P03,156,25% OFF,330,323,Diwali,12-11-2023,18-11-2023,Atliq_Suflower_Oil (1L),Grocery & Staples,Chennai
48d526,STCHE-7,CAMP_SAN_01,P15,3000,500 Cashback,115,332,Sankranti,10-01-2024,16-01-2024,Atliq_Home_Essential_8_Product_Combo,Combo1,Chennai
0312a8,STCHE-7,CAMP_DIW_01,P15,3000,500 Cashback,393,1375,Diwali,12-11-2023,18-11-2023,Atliq_Home_Essential_8_Product_Combo,Combo1,Chennai
b526b4,STCHE-7,CAMP_SAN_01,P02,860,33% OFF,525,756,Sankranti,10-01-2024,16-01-2024,Atliq_Sonamasuri_Rice (10KG),Grocery & Staples,Chennai
c4123e,STCHE-7,CAMP_DIW_01,P02,860,33% OFF,336,507,Diwali,12-11-2023,18-11-2023,Atliq_Sonamasuri_Rice (10KG),Grocery & Staples,Chennai
11a64e,STCHE-7,CAMP_SAN_01,P06,415,25% OFF,31,28,Sankranti,10-01-2024,16-01-2024,Atliq_Fusion_Container_Set_of_3,Home Care,Chennai
e88818,STCHE-7,CAMP_DIW_01,P06,415,25% OFF,82,79,Diwali,12-11-2023,18-11-2023,Atliq_Fusion_Container_Set_of_3,Home Care,Chennai
13d333,STCHE-7,CAMP_SAN_01,P01,172,33% OFF,256,358,Sankranti,10-01-2024,16-01-2024,Atliq_Masoor_Dal (1KG),Grocery & Staples,Chennai
62e500,STCHE-7,CAMP_DIW_01,P01,172,33% OFF,346,505,Diwali,12-11-2023,18-11-2023,Atliq_Masoor_Dal (1KG),Grocery & Staples,Chennai
1e5ae7,STCHE-7,CAMP_SAN_01,P09,90,25% OFF,54,51,Sankranti,10-01-2024,16-01-2024,Atliq_Body_Milk_Nourishing_Lotion (120ML),Personal Care,Chennai
598637,STCHE-7,CAMP_DIW_01,P09,110,50% OFF,71,90,Diwali,12-11-2023,18-11-2023,Atliq_Body_Milk_Nourishing_Lotion (120ML),Personal Care,Chennai
de0a50,STCHE-7,CAMP_SAN_01,P05,55,25% OFF,28,26,Sankranti,10-01-2024,16-01-2024,Atliq_Scrub_Sponge_For_Dishwash,Home Care,Chennai
e8a904,STCHE-7,CAMP_DIW_01,P05,55,25% OFF,112,107,Diwali,12-11-2023,18-11-2023,Atliq_Scrub_Sponge_For_Dishwash,Home Care,Chennai
141aea,STCHE-7,CAMP_SAN_01,P14,1020,BOGOF,111,493,Sankranti,10-01-2024,16-01-2024,Atliq_waterproof_Immersion_Rod,Home Appliances,Chennai
a9d059,STCHE-7,CAMP_DIW_01,P14,1020,BOGOF,50,202,Diwali,12-11-2023,18-11-2023,Atliq_waterproof_Immersion_Rod,Home Appliances,Chennai
2ba1ba,STCHE-7,CAMP_SAN_01,P13,350,BOGOF,106,454,Sankranti,10-01-2024,16-01-2024,Atliq_High_Glo_15W_LED_Bulb,Home Appliances,Chennai
d62a10,STCHE-7,CAMP_DIW_01,P13,350,BOGOF,63,242,Diwali,12-11-2023,18-11-2023,Atliq_High_Glo_15W_LED_Bulb,Home Appliances,Chennai
84a2f4,STCHE-7,CAMP_SAN_01,P04,370,BOGOF,423,1801,Sankranti,10-01-2024,16-01-2024,Atliq_Farm_Chakki_Atta (1KG),Grocery & Staples,Chennai
fcf54a,STCHE-7,CAMP_DIW_01,P04,290,25% OFF,348,334,Diwali,12-11-2023,18-11-2023,Atliq_Farm_Chakki_Atta (1KG),Grocery & Staples,Chennai
1.53E+07,STCHE-7,CAMP_SAN_01,P12,62,50% OFF,67,95,Sankranti,10-01-2024,16-01-2024,Atliq_Lime_Cool_Bathing_Bar (125GM),Personal Care,Chennai
1bfbb8,STCHE-7,CAMP_DIW_01,P12,62,50% OFF,171,222,Diwali,12-11-2023,18-11-2023,Atliq_Lime_Cool_Bathing_Bar (125GM),Personal Care,Chennai
c23e33,STHYD-6,CAMP_SAN_01,P11,190,50% OFF,49,69,Sankranti,10-01-2024,16-01-2024,Atliq_Doodh_Kesar_Body_Lotion (200ML),Personal Care,Hyderabad
0b9826,STHYD-6,CAMP_DIW_01,P11,190,50% OFF,57,71,Diwali,12-11-2023,18-11-2023,Atliq_Doodh_Kesar_Body_Lotion (200ML),Personal Care,Hyderabad
46d796,STHYD-6,CAMP_SAN_01,P07,300,BOGOF,51,205,Sankranti,10-01-2024,16-01-2024,Atliq_Curtains,Home Care,Hyderabad
c25b15,STHYD-6,CAMP_DIW_01,P07,300,BOGOF,63,218,Diwali,12-11-2023,18-11-2023,Atliq_Curtains,Home Care,Hyderabad
b8c7c8,STHYD-6,CAMP_SAN_01,P10,50,25% OFF,31,26,Sankranti,10-01-2024,16-01-2024,Atliq_Cream_Beauty_Bathing_Soap (125GM),Personal Care,Hyderabad
62d659,STHYD-6,CAMP_DIW_01,P10,65,50% OFF,105,137,Diwali,12-11-2023,18-11-2023,Atliq_Cream_Beauty_Bathing_Soap (125GM),Personal Care,Hyderabad
9d63a7,STHYD-6,CAMP_SAN_01,P08,1190,BOGOF,43,166,Sankranti,10-01-2024,16-01-2024,Atliq_Double_Bedsheet_set,Home Care,Hyderabad
333b7d,STHYD-6,CAMP_DIW_01,P08,1190,BOGOF,49,166,Diwali,12-11-2023,18-11-2023,Atliq_Double_Bedsheet_set,Home Care,Hyderabad
bb62b3,STHYD-6,CAMP_SAN_01,P03,200,BOGOF,378,1459,Sankranti,10-01-2024,16-01-2024,Atliq_Suflower_Oil (1L),Grocery & Staples,Hyderabad
e0de60,STHYD-6,CAMP_DIW_01,P03,156,25% OFF,327,294,Diwali,12-11-2023,18-11-2023,Atliq_Suflower_Oil (1L),Grocery & Staples,Hyderabad
8f25a6,STHYD-6,CAMP_SAN_01,P15,3000,500 Cashback,126,302,Sankranti,10-01-2024,16-01-2024,Atliq_Home_Essential_8_Product_Combo,Combo1,Hyderabad
6f3e24,STHYD-6,CAMP_DIW_01,P15,3000,500 Cashback,388,1129,Diwali,12-11-2023,18-11-2023,Atliq_Home_Essential_8_Product_Combo,Combo1,Hyderabad
ffdcb8,STHYD-6,CAMP_SAN_01,P02,860,33% OFF,454,644,Sankranti,10-01-2024,16-01-2024,Atliq_Sonamasuri_Rice (10KG),Grocery & Staples,Hyderabad
9387d1,STHYD-6,CAMP_DIW_01,P02,860,33% OFF,329,470,Diwali,12-11-2023,18-11-2023,Atliq_Sonamasuri_Rice (10KG),Grocery & Staples,Hyderabad
a6a18f,STHYD-6,CAMP_SAN_01,P06,415,25% OFF,34,27,Sankranti,10-01-2024,16-01-2024,Atliq_Fusion_Container_Set_of_3,Home Care,Hyderabad
ab8eb3,STHYD-6,CAMP_DIW_01,P06,415,25% OFF,85,74,Diwali,12-11-2023,18-11-2023,Atliq_Fusion_Container_Set_of_3,Home Care,Hyderabad
f3a7b2,STHYD-6,CAMP_SAN_01,P01,172,33% OFF,306,416,Sankranti,10-01-2024,16-01-2024,Atliq_Masoor_Dal (1KG),Grocery & Staples,Hyderabad
53b2fd,STHYD-6,CAMP_DIW_01,P01,172,33% OFF,320,467,Diwali,12-11-2023,18-11-2023,Atliq_Masoor_Dal (1KG),Grocery & Staples,Hyderabad
5c50b6,STHYD-6,CAMP_SAN_01,P09,90,25% OFF,55,45,Sankranti,10-01-2024,16-01-2024,Atliq_Body_Milk_Nourishing_Lotion (120ML),Personal Care,Hyderabad
e4b7e4,STHYD-6,CAMP_DIW_01,P09,110,50% OFF,78,102,Diwali,12-11-2023,18-11-2023,Atliq_Body_Milk_Nourishing_Lotion (120ML),Personal Care,Hyderabad
316f12,STHYD-6,CAMP_SAN_01,P05,55,25% OFF,33,27,Sankranti,10-01-2024,16-01-2024,Atliq_Scrub_Sponge_For_Dishwash,Home Care,Hyderabad
9.90E+87,STHYD-6,CAMP_DIW_01,P05,55,25% OFF,117,104,Diwali,12-11-2023,18-11-2023,Atliq_Scrub_Sponge_For_Dishwash,Home Care,Hyderabad
cfeac1,STHYD-6,CAMP_SAN_01,P14,1020,BOGOF,100,396,Sankranti,10-01-2024,16-01-2024,Atliq_waterproof_Immersion_Rod,Home Appliances,Hyderabad
1130ea,STHYD-6,CAMP_DIW_01,P14,1020,BOGOF,45,155,Diwali,12-11-2023,18-11-2023,Atliq_waterproof_Immersion_Rod,Home Appliances,Hyderabad
dcaa89,STHYD-6,CAMP_SAN_01,P13,350,BOGOF,100,403,Sankranti,10-01-2024,16-01-2024,Atliq_High_Glo_15W_LED_Bulb,Home Appliances,Hyderabad
f940cf,STHYD-6,CAMP_DIW_01,P13,350,BOGOF,77,260,Diwali,12-11-2023,18-11-2023,Atliq_High_Glo_15W_LED_Bulb,Home Appliances,Hyderabad
07e4ea,STHYD-6,CAMP_SAN_01,P04,370,BOGOF,486,1890,Sankranti,10-01-2024,16-01-2024,Atliq_Farm_Chakki_Atta (1KG),Grocery & Staples,Hyderabad
f32df2,STHYD-6,CAMP_DIW_01,P04,290,25% OFF,390,339,Diwali,12-11-2023,18-11-2023,Atliq_Farm_Chakki_Atta (1KG),Grocery & Staples,Hyderabad
1824c2,STHYD-6,CAMP_SAN_01,P12,62,50% OFF,67,93,Sankranti,10-01-2024,16-01-2024,Atliq_Lime_Cool_Bathing_Bar (125GM),Personal Care,Hyderabad
